code,date,Year,Mes,hosp_covid,uso_uci,ocup_hosp,deaths_covid
ND,2021-08-18,2021,8,113.0,169.0,130.0,0.0
ID,2021-08-17,2021,8,408.0,368.0,535.0,4.0
NM,2021-08-17,2021,8,371.0,399.0,504.0,4.0
IA,2021-08-15,2021,8,484.0,457.0,591.0,3.0
ND,2021-08-15,2021,8,97.0,162.0,112.0,1.0
DC,2021-08-14,2021,8,103.0,303.0,134.0,1.0
NM,2021-08-12,2021,8,314.0,382.0,428.0,4.0
ID,2021-08-11,2021,8,331.0,339.0,442.0,3.0
MA,2021-08-11,2021,8,355.0,1068.0,438.0,4.0
MS,2021-08-11,2021,8,1593.0,838.0,2007.0,24.0
SD,2021-08-10,2021,8,75.0,172.0,88.0,1.0
SD,2021-08-09,2021,8,65.0,169.0,79.0,0.0
DC,2021-08-06,2021,8,75.0,271.0,92.0,1.0
ME,2021-08-06,2021,8,63.0,277.0,88.0,1.0
IA,2021-08-05,2021,8,332.0,458.0,403.0,1.0
MT,2021-08-04,2021,8,136.0,160.0,170.0,1.0
NH,2021-08-04,2021,8,36.0,219.0,48.0,0.0
WV,2021-08-04,2021,8,255.0,631.0,325.0,2.0
CO,2021-08-03,2021,8,454.0,1090.0,609.0,3.0
OR,2021-08-03,2021,8,490.0,624.0,609.0,7.0
CT,2021-08-02,2021,8,198.0,725.0,229.0,1.0
DE,2021-08-01,2021,8,90.0,238.0,98.0,0.0
RI,2021-07-31,2021,7,33.0,206.0,38.0,0.0
OK,2021-07-29,2021,7,869.0,1110.0,1102.0,8.0
SD,2021-07-28,2021,7,32.0,167.0,43.0,0.0
RI,2021-07-27,2021,7,33.0,221.0,38.0,1.0
NM,2021-07-25,2021,7,114.0,322.0,168.0,1.0
OR,2021-07-25,2021,7,272.0,587.0,348.0,2.0
UT,2021-07-24,2021,7,316.0,685.0,458.0,0.0
DE,2021-07-18,2021,7,44.0,272.0,50.0,0.0
NM,2021-07-15,2021,7,106.0,319.0,136.0,0.0
ND,2021-07-11,2021,7,35.0,149.0,42.0,0.0
RI,2021-07-11,2021,7,70.0,196.0,73.0,0.0
PR,2021-07-10,2021,7,49.0,612.0,58.0,0.0
ME,2021-07-09,2021,7,48.0,265.0,68.0,0.0
MA,2021-07-01,2021,7,120.0,996.0,148.0,1.0
MA,2021-06-26,2021,6,121.0,1003.0,147.0,3.0
ME,2021-06-25,2021,6,47.0,268.0,64.0,0.0
NM,2021-06-17,2021,6,110.0,315.0,144.0,1.0
MA,2021-06-13,2021,6,153.0,967.0,200.0,3.0
NM,2021-06-11,2021,6,103.0,359.0,136.0,1.0
AK,2021-06-09,2021,6,15.0,141.0,22.0,0.0
MT,2021-06-09,2021,6,74.0,148.0,90.0,1.0
DE,2021-06-06,2021,6,60.0,256.0,69.0,0.0
ID,2021-06-04,2021,6,117.0,260.0,154.0,0.0
RI,2021-06-04,2021,6,86.0,213.0,92.0,1.0
OR,2021-06-03,2021,6,294.0,641.0,365.0,2.0
RI,2021-06-02,2021,6,91.0,207.0,100.0,2.0
ID,2021-05-31,2021,5,115.0,240.0,148.0,0.0
PR,2021-05-31,2021,5,162.0,591.0,191.0,4.0
ME,2021-05-30,2021,5,119.0,248.0,171.0,3.0
RI,2021-05-30,2021,5,101.0,197.0,112.0,1.0
NH,2021-05-28,2021,5,55.0,185.0,69.0,1.0
RI,2021-05-28,2021,5,109.0,210.0,123.0,2.0
RI,2021-05-27,2021,5,113.0,207.0,127.0,2.0
SD,2021-05-26,2021,5,49.0,160.0,62.0,0.0
RI,2021-05-25,2021,5,112.0,211.0,127.0,1.0
RI,2021-05-24,2021,5,120.0,207.0,136.0,1.0
ID,2021-05-23,2021,5,116.0,293.0,152.0,1.0
RI,2021-05-23,2021,5,115.0,208.0,128.0,1.0
ID,2021-05-21,2021,5,122.0,305.0,159.0,2.0
ND,2021-05-20,2021,5,94.0,166.0,104.0,0.0
RI,2021-05-20,2021,5,121.0,217.0,138.0,1.0
AK,2021-05-19,2021,5,23.0,147.0,27.0,0.0
MO,2021-05-19,2021,5,692.0,2062.0,900.0,4.0
NC,2021-05-18,2021,5,835.0,1895.0,1083.0,19.0
RI,2021-05-18,2021,5,120.0,204.0,136.0,2.0
NE,2021-05-16,2021,5,107.0,339.0,143.0,1.0
MT,2021-05-14,2021,5,64.0,152.0,74.0,0.0
NE,2021-05-13,2021,5,132.0,358.0,179.0,3.0
CT,2021-05-12,2021,5,286.0,806.0,359.0,2.0
ND,2021-05-11,2021,5,99.0,146.0,122.0,0.0
RI,2021-05-11,2021,5,140.0,223.0,157.0,2.0
NE,2021-05-09,2021,5,127.0,344.0,168.0,3.0
HI,2021-05-07,2021,5,66.0,139.0,82.0,2.0
HI,2021-05-06,2021,5,69.0,127.0,80.0,3.0
IA,2021-05-05,2021,5,273.0,494.0,322.0,1.0
ND,2021-05-05,2021,5,115.0,131.0,135.0,1.0
WY,2021-05-05,2021,5,32.0,53.0,44.0,0.0
